iter	Passed	Remaining
350	712	1317
351	713	1313
352	714	1309
353	716	1306
354	717	1303
355	718	1300
356	720	1297
357	721	1294
358	723	1291
359	724	1287
360	725	1284
361	726	1281
362	728	1277
363	729	1274
364	730	1271
365	732	1268
366	733	1265
367	735	1263
368	736	1260
369	738	1257
370	739	1254
371	740	1250
372	741	1247
373	742	1243
374	744	1240
375	745	1236
376	746	1233
377	747	1230
378	749	1227
379	750	1224
380	752	1221
381	753	1218
382	754	1215
383	756	1214
384	758	1211
385	759	1208
386	760	1205
387	762	1201
388	763	1198
389	764	1195
390	765	1192
391	767	1190
392	768	1187
393	770	1184
394	771	1182
395	773	1179
396	774	1175
397	775	1173
398	777	1171
399	779	1168
400	780	1165
401	781	1162
402	782	1159
403	783	1156
404	785	1154
405	787	1151
406	788	1148
407	789	1145
408	791	1143
409	792	1140
410	794	1137
411	795	1135
412	797	1133
413	798	1130
414	799	1127
415	801	1124
416	802	1122
417	803	1119
418	805	1116
419	806	1113
420	807	1111
421	809	1108
422	810	1105
423	811	1102
424	813	1099
425	814	1097
426	815	1094
427	817	1092
428	818	1089
429	819	1086
430	821	1084
431	822	1081
432	824	1079
433	825	1076
434	827	1074
435	828	1071
436	829	1069
437	831	1066
438	832	1064
439	833	1061
440	835	1058
441	836	1055
442	837	1053
443	839	1051
444	841	1049
445	842	1046
446	843	1043
447	845	1041
448	847	1039
449	848	1037
450	849	1034
451	851	1032
452	852	1029
453	853	1027
454	855	1024
